00000474,0000145C,1,3,0,
00002CB0,00002CBE,46,47,0,
000013BE,00001ACC,3,4,0,
00000FBA,00002720,2,12,0,
00002858,00002CDA,15,48,0,
0000161A,00001DC2,3,4,0,
000001E6,00001524,1,3,0,
00000012,00001C12,1,4,0,
00001082,00001A28,2,4,0,
000004CA,00001876,1,3,0,
000000F4,00001B00,1,4,0,
000025BC,00002A8C,10,24,0,
00000B44,0000262C,1,11,0,
00001F1A,000022DE,5,7,0,
00000F36,00002200,2,7,0,
00000726,00001254,1,3,0,
000027B2,00002D12,13,54,0,
00001CD4,00001E36,4,5,0,
00000170,000015F8,1,3,0,
00001BDC,00001F34,4,5,0,
000001CA,00002C12,1,37,0,
00001228,0000211A,3,6,0,
00002A4C,00002AD6,22,26,0,
00000CC6,00002C50,2,40,0,
00001154,000028DA,2,17,0,
00000DBC,00002432,2,8,0,
00000114,0000123A,1,3,0,
00001462,000023F2,3,8,0,
00001472,00002C62,3,41,0,
00001D8A,00002DD8,4,77,0,
00000462,0000243A,1,8,0,
00001CDA,000025AA,4,10,0,
000002BA,00001A5A,1,4,0,
00001070,000015A8,2,3,0,
000000C6,00002CF4,1,52,0,
00002298,0000280A,7,14,0,
000018EC,00002B9E,3,33,0,
0000059C,00001E7C,1,5,0,
00000C92,0000237A,2,8,0,
00001378,00001DC8,3,4,0,
00001ECC,00002114,5,6,0,
00000BBE,000020EA,1,6,0,
00000226,0000217A,1,6,0,
00002242,00002E98,7,135,0,
00000572,00001CEC,1,4,0,
00001A1E,000022E6,4,7,0,
000000FC,00001A88,1,4,0,
000005AE,0000195C,1,4,0,
000003B6,0000283E,1,15,0,
00000174,00000F58,1,2,0,
00002906,00002B2C,17,29,0,
00001EA8,000022BA,5,7,0,
00000E1C,00002190,2,6,0,
00000DEE,00002AD2,2,26,0,
00001AA2,00002E22,4,93,0,
00000C80,00002524,2,9,0,
000008A6,00002736,1,13,0,
00000142,0000274A,1,13,0,
00001A42,000025F6,4,11,0,
00001768,00002D9A,3,66,0,
000002BC,000019A8,1,4,0,
00002C3E,00002E98,39,135,0,
0000086A,00002B88,1,32,0,
000010FC,00002546,2,10,0,
00001850,00002638,3,11,0,
00000CF2,000019BC,2,4,0,
000000FC,00001B10,1,4,0,
0000043C,000016AC,1,3,0,
000022C8,0000294A,7,18,0,
00001B2E,00002882,4,16,0,
00001D0E,00001F38,4,5,0,
00001086,00002082,2,6,0,
000004C8,00001E52,1,5,0,
0000032E,00001A2A,1,4,0,
00000940,00002B00,1,27,0,
00000AE4,00001732,1,3,0,
00000D42,0000208C,2,6,0,
000010C8,00001BE2,2,4,0,
00001ECE,0000220E,5,7,0,
00001FCA,00002A84,5,24,0,
